Fruits/Vegetables,Meat,Grains,Dairy,
Greens,Gopher,corn soy blend (csb++ food aid),Ice Milk,
Guava,Grasshopper,taro,Imitation Cheese,
Hominy,Grouper,wheat (food aid,Imitation Sour Cream,
Honeydew Melon,Guanaco,potatoes (irish),Iron Caseinate,
Horned Melon,Guinea Fowl,maize (food aid),Kefir,
Iceberg Lettuce,Guinea Fowl Egg,sorghum (food aid),Kourmiss,
Jerusalem Artichoke,Hare,pasta (spaghetti),Lactaid Milk,
Jicama,Heart,beans (white),Lactalbumin,
Kale,Herring,bulgar,Lactalbumin phosphate,
Kiwifruit,Horse Meat,bread (khoboz),Lactate solids,
Kohlrabi,Ibex,dates,Lactitol Monohyrdrate,
Kumquat,Iguana,salt (iodised),Lactoferrin,
Leeks,Jellyfish,tortilla,Lactoglobulin,
Lemons,Kangaroo,beans (black veracruz),Lactose,
Lettuce,Kidney,beans (black zacatecas),Lactose Free Milk,
Lima Beans,Lamb,beans (black imported),Lactulose,
Limes,Leech,rice (long grain sinaloa),Lactyc Yeast,
Longan,Liver,rice (small grain morelos),Low Fat Milk,
Loquat,Lizardbeans,(black nayarit),Malted Milk,
Lychee,Lizard Eggs,millet,Milk,
Madarins,Llama Meat,,Milk Derivative,
Malanga,Lobster,,Milk Fat,
Mandarin Oranges,Lobster Roe,,Milk Powder,
Mangos,Merling,,Milk Protein,
Mulberries,Moose Meat,,Milk Protein Hydrolysates,
Mushrooms,Mouse,,Milk Solid Pastes,
Napa,Mullet,,Milk Solids,
Nectarines,Mullet Roe,,Natural Butter,
Okra,Musk Ox,,Natural Butter Flavor,
Onions,Mussels,,Nisin Preparation,
Oranges,Mutton,,Nonfat Dry Milk,
Papayas,Octopus,,Nonfat Milk,
Parsnip,Opossum,,Nonfat Milk Solids,
Passion Fruit,Ostrich,,Nougat,
Peaches,Ostrich Egg,,Paneer,
Pears,Oxen,,Pasteurized Milk,
Peas,Oyster,,Potassium Caseinate,
Peppers (green),Partridge,,Powdered Milk,
Persimmons,Partridge Egg,,Powdered Whey,
Pineapple,Pigeon,,Protein Hydrolysates,
Plantains,Pork,,Pudding,
Plums,Prawns,,Quark,
Pomegranate,Ptarmigan,,Recaldent,
Potatoes,Python,,Reduced Mineral Whey,
Prickly Pear,Quail,,Rennet,
Prunes,Quail Eggs,,Rennet Casein,
Pummelo,Rabbit,,Sheep Milk,
Pumpkin,Raccoon,,Sheep Milk Cheese,
Quince,Rat Meat,,Sherbet,
Radicchio,Rattlesnake,,Skim Milk,
Radishes,Rhea,,Skim Milk Powder,
Raisins,Rhea Egg,,Sodium Caseinate,
Raspberries,Roe,,Sour Cream,
Red Cabbage,Sago Grubs,,Sour Cream Solids,
Rhubarb,Sago Palm Weevil Larvae,,Sour Milk,
Romaine Lettuce,Salmon,,Sour Milk Solids,
Rutabaga,Scallops,,Sweet Cream,
Shallots,Scorpion,,Sweet Cream Buttermilk Powder,
Snow Peas,Seal Meat,,Sweet Dairy Whey,
Spinach,Sea Bass,,Sweetened Condensed Milk,
Sprouts,Sea Cucumber,,Sweetened Condensed Skim Milk,
Squash,Sea Lion,,Vegetarian Cheese with Casein,
Strawberries,Sea Trout,,Whey,
String Beans,Sea Urchin,,Whey Hydrolysates,
Sweet Potato,Shark,,Whey Powder,
Tangelo,Shrimp,,Whey Protein,
Tangerines,Smelt,,Whey Protein Concentrate,
Tomatillo,Smelt Cavier,,Whey Protein Hydrolysates,
Tomato,Snail,,Whey Solids,
Turnip,Snake,,Whipped Butter,
Ugli Fruit,Snake Egg,,Whipped Cream,
Water Chestnuts,Spider,,Whole Milk,
Watercress,Squid,,Yogurt (regular or frozen),
Watermelon,Squirrel,,Yogurt Powder,
Waxed Beans,Swan,,Zinc Caseinate,
Yams,Eggs,,butter (cow milk),
Yellow Squash,Swordfish,,butter (cow milk),
Yuca/Cassava,Tarantula,,swiss chard,
Zucchini Squash,Tilapia,,honey,
Lentils,Toad,,milk (powder),
Tomatoes,Trout,,cheese (local),
kale,Tuna,,,
kocho,Turkey,,,
,Turkey Eggs,,,
,Turtle,,,
,Turtle Eggs,,,
,Urchin,,,
,Urchin Roe,,,
,Venison,,,
,Viper,,,
,Walrus,,,
,Wasps,,,
,Whale Meat,,,
,Whitefish,,,
,Whitefish Roe,,,
,Whiting,,,
,Worms,,,
,Wtchetty Grubs,,,
,Xia Shrimp,,,
,Yak,,,
,Yellow Jacket,,,
,Yellowfin Tuna,,,
,Zaza-Mushi (Stonefly Larvae),,,
,Zebra,,,
,Livestock (cattle),,,
,livestock (goat),,,
,livestock (sheep),,,
,livestock (donkey),,,
,livestock (camel),,,
,livestock (ox),,,
,livestock (bull),,,
,meat (chicken),,,
,fish,,,
,meat (beef),,,
,meat (lamb),,,
